rank,team,full_name,bat_avg,bowl_avg,ar_avg,team_score,primary_color
1,RR,Rajasthan Royals,6.3775,5.0195,5.8527,5.701,#EA1A7F
2,RCB,Royal Challengers Bengaluru,6.6979,4.3669,6.2904,5.6747,#D1001C
3,PBKS,Punjab Kings,6.2627,5.3762,4.7428,5.4914,#ED1F27
4,MI,Mumbai Indians,6.4296,5.0674,4.8647,5.4602,#004BA0
5,DC,Delhi Capitals,6.0117,5.2488,4.9401,5.4141,#0078BC
6,GT,Gujarat Titans,5.752,4.7318,5.8195,5.373,#1C1C6E
7,SRH,Sunrisers Hyderabad,6.801,4.3447,4.6267,5.2342,#F7A721
8,KKR,Kolkata Knight Riders,5.4913,4.6291,5.1618,5.0628,#3A225D
9,CSK,Chennai Super Kings,5.4415,4.6404,4.8841,4.973,#F9CD1C
10,LSG,Lucknow Super Giants,5.3918,3.9051,5.3714,4.8063,#A0E00A
