S no,Name,team,Type,identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2
1,Ruturaj Gaikwad ,CSK,1,45a43fe2,RD Gaikwad,RD Gaikwad,ObLiOCyc1eiGVUJhKIzAJJeXJiiQ0iI,0,0,0,0,0,1060380,0,0,0,1358247,0,0,0,0,0,0,5443,0
2,Ayush Mhatre ,CSK,1,b2b4f545,A Mhatre,A Mhatre,0,0,0,0,0,0,1452455,0,0,0,0,0,0,0,0,0,0,0,0
3,M S Dhoni,CSK,1,4a8a2e3b,MS Dhoni,MS Dhoni,0,0,0,0,0,0,28081,0,0,0,7561,0,0,0,0,0,0,1,0
4,Sanju Samson ,CSK,1,a4cc73aa,SV Samson,SV Samson,iJUViQ01GecizhCJIAbiyXJOiLIOJeK,0,0,0,0,0,425943,0,0,0,218180,0,0,0,0,0,0,258,0
5,Dewald Brevis ,CSK,1,844e79d1,D Brevis,D Brevis,0,0,0,0,0,0,1070665,0,0,0,0,0,110871,1d9d1c88-b1d1-4f4b-ae9a-c58a9d5e61bf,0,0,0,0,0
6,Urvil Patel ,CSK,1,cf59b3f0,Urvil Patel,Urvil Patel,XJiyOV0iAhbCGieIJKIQ1eiJUczOiJL,0,0,0,0,0,1131570,0,0,0,0,0,0,0,0,0,0,0,0
7,Shivam Dube ,CSK,3,a4e37e47,S Dube,S Dube,GJIV0ic1eLiiJAJihUCyiOIOXKeJQzb,0,0,0,0,0,714451,0,0,0,1917128,0,0,0,0,0,0,5431,0
8,Jamie Overton ,CSK,3,59559bc2,J Overton,J Overton,0,0,0,0,0,0,510530,0,0,0,383628,0,0,ec2631d0-f8c1-49ea-af91-104113a36b4d,0,0,0,1300,0
9,Noor Ahmad ,CSK,2,efc04be7,Noor Ahmad,Noor Ahmad,0,0,13157,0,0,0,1182529,0,0,0,2178162,0,0,0,0,0,0,0,0
10,Khaleel Ahmed ,CSK,2,a2f46292,KK Ahmed,KK Ahmed,IQJiLJyeIGhziObUJ0COiiX1VKceAJi,0,0,0,0,0,942645,0,0,0,1196933,0,0,67dc81f9-df52-436f-88ec-3ded368652c7,0,0,0,2964,0
